date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:22	12894/12894	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-07.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-07.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:23	14956/14956	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-08.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-08.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:24	13366/13366	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-09.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-09.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:26	16150/16150	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-10.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-10.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:27	18273/18273	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-11.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-11.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:28	15517/15517	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:50%20GMT	http://exprostudio.com/html/Finance/images/team/img-12.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-12.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:31	17564/17564	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-13.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-13.jpg	(from http://exprostudio.com/html/Finance/team.html)
08:50:33	25514/25514	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-14.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-14.jpg	(from http://exprostudio.com/html/Finance/team-detail.html)
08:50:39	52395/52395	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/gallery/img-01.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/gallery/img-01.jpg	(from http://exprostudio.com/html/Finance/gallery.html)
08:50:43	58394/58394	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/gallery/img-02.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/gallery/img-02.jpg	(from http://exprostudio.com/html/Finance/gallery.html)
08:50:47	40433/40433	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/gallery/img-03.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/gallery/img-03.jpg	(from http://exprostudio.com/html/Finance/gallery.html)
08:50:49	33947/33947	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/gallery/img-04.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/gallery/img-04.jpg	(from http://exprostudio.com/html/Finance/gallery.html)
08:50:51	21805/21805	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-01.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-01.jpg	(from http://exprostudio.com/html/Finance/news-list.html)
08:50:52	18600/18600	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/news/img-02.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/news/img-02.jpg	(from http://exprostudio.com/html/Finance/news-list.html)
